Row ID,Order ID,Order Date,Ship Date,On-Time,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Cost Price,Selling Price,Sales on CP,Sales,Quantity,Discount,Profit,Short Month,Order Month
3535,CA-2017-110849,"Tuesday, April 18, 2017","Sunday, April 23, 2017",0,Standard Class,JL-15835,John Lee,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10000657,Office Supplies,Art,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",27,328,135,1640,5,0,1505,Apr,4
3534,CA-2017-110849,"Tuesday, April 18, 2017","Sunday, April 23, 2017",1,Standard Class,JL-15835,John Lee,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10002375,Office Supplies,Art,Newell 351,77,201,308,804,4,0,496,Apr,4
3536,CA-2017-110849,"Tuesday, April 18, 2017","Sunday, April 23, 2017",1,Standard Class,JL-15835,John Lee,Consumer,United States,Los Angeles,California,90049,West,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",91,239,182,478,2,0,296,Apr,4
2492,CA-2017-113579,"Wednesday, December 13, 2017","Friday, December 15, 2017",1,Second Class,KD-16345,Katherine Ducich,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10001457,Office Supplies,Paper,White GlueTop Scratch Pads,87,299,522,1794,6,0,1272,Dec,12
8173,CA-2017-114125,"Thursday, September 7, 2017","Thursday, July 13, 2017",0,Standard Class,GH-14410,Gary Hansen,Home Office,United States,Los Angeles,California,90049,West,OFF-LA-10004559,Office Supplies,Labels,Avery 49,33,102,33,102,1,0,69,Sep,9
8175,CA-2017-114125,"Thursday, September 7, 2017","Thursday, July 13, 2017",0,Standard Class,GH-14410,Gary Hansen,Home Office,United States,Los Angeles,California,90049,West,OFF-ST-10001505,Office Supplies,Storage,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",72,60,288,240,4,0,-48,Sep,9
5328,CA-2017-130813,"Thursday, June 1, 2017","Tuesday, August 1, 2017",1,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,88,234,264,702,3,0,438,Jun,6
7237,CA-2017-138737,"Wednesday, July 12, 2017","Thursday, October 12, 2017",1,First Class,FP-14320,Frank Preis,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10003190,Office Supplies,Art,Newell 32,98,313,294,939,3,0,645,Jul,7
5737,CA-2017-148614,"Friday, January 20, 2017","Wednesday, January 25, 2017",1,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",16,284,32,568,2,0,536,Jan,1
9229,CA-2017-153619,"Saturday, March 11, 2017","Saturday, March 11, 2017",1,Same Day,TC-21535,Tracy Collins,Home Office,United States,Los Angeles,California,90049,West,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,38,331,152,1324,4,0,1172,Mar,3
8504,CA-2017-164903,"Monday, February 20, 2017","Friday, February 24, 2017",1,Standard Class,SR-20740,Steven Roelle,Home Office,United States,Los Angeles,California,90049,West,OFF-PA-10003363,Office Supplies,Paper,Xerox 204,64,129,128,258,2,0,130,Feb,2
5896,CA-2017-168305,"Wednesday, January 11, 2017","Friday, August 11, 2017",1,Standard Class,PL-18925,Paul Lucas,Home Office,United States,Los Angeles,California,90049,West,OFF-LA-10003498,Office Supplies,Labels,Avery 475,81,237,243,711,3,0,468,Jan,1
5897,CA-2017-168305,"Wednesday, January 11, 2017","Friday, August 11, 2017",0,Standard Class,PL-18925,Paul Lucas,Home Office,United States,Los Angeles,California,90049,West,OFF-PA-10004947,Office Supplies,Paper,Easy-staple paper,90,136,450,680,5,0,230,Jan,1
4561,CA-2018-118871,"Thursday, April 12, 2018","Wednesday, September 12, 2018",1,Second Class,HM-14860,Harry Marie,Corporate,United States,Los Angeles,California,90049,West,OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,87,350,261,1050,3,0,789,Apr,4
8055,CA-2018-121188,"Tuesday, August 28, 2018","Monday, April 9, 2018",0,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Los Angeles,California,90049,West,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",63,89,315,445,5,0,130,Aug,8
8057,CA-2018-121188,"Tuesday, August 28, 2018","Monday, April 9, 2018",1,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Los Angeles,California,90049,West,OFF-ST-10000736,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,31,290,279,2610,9,0,2331,Aug,8
4339,CA-2018-125234,"Tuesday, November 27, 2018","Friday, January 12, 2018",0,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Los Angeles,California,90049,West,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",79,327,237,981,3,0,744,Nov,11
6010,CA-2018-135580,"Sunday, December 30, 2018","Friday, March 1, 2019",1,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90049,West,OFF-ST-10000798,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma,69,168,207,504,3,0,297,Dec,12
6009,CA-2018-135580,"Sunday, December 30, 2018","Friday, March 1, 2019",1,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10000595,Office Supplies,Paper,Xerox 1929,53,257,159,771,3,0,612,Dec,12
6012,CA-2018-135580,"Sunday, December 30, 2018","Friday, March 1, 2019",1,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90049,West,OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,87,200,261,600,3,0,339,Dec,12
7967,CA-2018-138219,"Friday, March 23, 2018","Friday, March 30, 2018",0,Standard Class,BP-11095,Bart Pistole,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",51,170,204,680,4,0,476,Mar,3
7854,CA-2018-144890,"Tuesday, December 25, 2018","Saturday, December 29, 2018",0,Standard Class,SM-20320,Sean Miller,Home Office,United States,Los Angeles,California,90049,West,OFF-PA-10001526,Office Supplies,Paper,Xerox 1949,70,117,140,234,2,0,94,Dec,12
8549,CA-2018-149566,"Saturday, May 12, 2018","Friday, October 12, 2018",0,Standard Class,GB-14530,George Bell,Corporate,United States,Los Angeles,California,90049,West,OFF-LA-10000452,Office Supplies,Labels,Avery 488,70,227,280,908,4,0,628,May,5
3759,CA-2018-167745,"Tuesday, September 18, 2018","Sunday, September 23, 2018",1,Standard Class,GB-14530,George Bell,Corporate,United States,Los Angeles,California,90049,West,OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",63,161,126,322,2,0,196,Sep,9
3760,CA-2018-167745,"Tuesday, September 18, 2018","Sunday, September 23, 2018",1,Standard Class,GB-14530,George Bell,Corporate,United States,Los Angeles,California,90049,West,OFF-SU-10004782,Office Supplies,Supplies,"Elite 5"" Scissors",61,158,122,316,2,0,194,Sep,9
9043,CA-2018-168760,"Saturday, September 22, 2018","Wednesday, September 26, 2018",0,Second Class,MM-18280,Muhammed MacIntyre,Corporate,United States,Los Angeles,California,90049,West,OFF-AP-10004532,Office Supplies,Appliances,Kensington 6 Outlet Guardian Standard Surge Protector,83,196,249,588,3,0,339,Sep,9
6284,CA-2019-100944,"Tuesday, September 24, 2019","Saturday, September 28, 2019",1,Standard Class,EH-13765,Edward Hooks,Corporate,United States,Los Angeles,California,90049,West,OFF-EN-10001453,Office Supplies,Envelopes,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",72,103,360,515,5,0,155,Sep,9
9521,CA-2019-101189,"Tuesday, April 2, 2019","Monday, September 2, 2019",0,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving,47,161,94,322,2,0,228,Apr,4
43,CA-2019-101343,"Wednesday, July 17, 2019","Monday, July 22, 2019",0,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",82,240,164,480,2,0,316,Jul,7
4487,CA-2019-109365,"Monday, March 11, 2019","Sunday, August 11, 2019",0,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10004359,Office Supplies,Paper,Multicolor Computer Printout Paper,11,220,33,660,3,0,627,Mar,3
4482,CA-2019-109365,"Monday, March 11, 2019","Sunday, August 11, 2019",0,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Los Angeles,California,90049,West,OFF-AP-10002998,Office Supplies,Appliances,Holmes 99% HEPA Air Purifier,25,339,50,678,2,0,628,Mar,3
4481,CA-2019-109365,"Monday, March 11, 2019","Sunday, August 11, 2019",1,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Los Angeles,California,90049,West,OFF-FA-10001561,Office Supplies,Fasteners,Stockwell Push Pins,30,179,210,1253,7,0,1043,Mar,3
4484,CA-2019-109365,"Monday, March 11, 2019","Sunday, August 11, 2019",1,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10001725,Office Supplies,Paper,Xerox 1892,72,277,216,831,3,0,615,Mar,3
4486,CA-2019-109365,"Monday, March 11, 2019","Sunday, August 11, 2019",1,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10000477,Office Supplies,Paper,Xerox 22,70,127,210,381,3,0,171,Mar,3
2191,CA-2019-118913,"Tuesday, June 25, 2019","Saturday, June 29, 2019",1,Standard Class,AS-10240,Alan Shonely,Consumer,United States,Los Angeles,California,90049,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,86,91,258,273,3,0,15,Jun,6
3565,CA-2019-130029,"Thursday, March 7, 2019","Friday, June 7, 2019",0,First Class,GT-14755,Guy Thornton,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10000552,Office Supplies,Paper,Xerox 200,75,177,150,354,2,0,204,Mar,3
3566,CA-2019-130029,"Thursday, March 7, 2019","Friday, June 7, 2019",0,First Class,GT-14755,Guy Thornton,Consumer,United States,Los Angeles,California,90049,West,OFF-FA-10001135,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box",32,227,64,454,2,0,390,Mar,3
9617,CA-2019-140256,"Thursday, August 22, 2019","Thursday, August 29, 2019",1,Standard Class,PW-19030,Pauline Webber,Corporate,United States,Los Angeles,California,90049,West,OFF-AR-10002255,Office Supplies,Art,Newell 346,58,204,116,408,2,0,292,Aug,8
7067,CA-2019-147473,"Thursday, May 30, 2019","Wednesday, March 6, 2019",0,Standard Class,NL-18310,Nancy Lomonaco,Home Office,United States,Los Angeles,California,90049,West,OFF-PA-10004782,Office Supplies,Paper,Xerox 228,55,228,330,1368,6,0,1038,May,5
9216,CA-2019-152646,"Thursday, November 21, 2019","Tuesday, November 26, 2019",1,Standard Class,TH-21235,Tiffany House,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10004451,Office Supplies,Paper,Xerox 222,87,336,435,1680,5,0,1245,Nov,11
6160,CA-2019-161025,"Tuesday, March 12, 2019","Thursday, September 12, 2019",1,Standard Class,GM-14440,Gary McGarr,Consumer,United States,Los Angeles,California,90049,West,OFF-ST-10001932,Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,74,196,296,784,4,0,488,Mar,3
8492,CA-2020-106824,"Tuesday, July 7, 2020","Saturday, November 7, 2020",1,Standard Class,AT-10735,Annie Thurman,Consumer,United States,Los Angeles,California,90049,West,OFF-FA-10001135,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box",32,145,96,435,3,0,339,Jul,7
5942,CA-2020-112431,"Thursday, December 10, 2020","Wednesday, October 14, 2020",1,Second Class,RW-19690,Robert Waldorf,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,81,277,162,554,2,0,392,Dec,12
9732,CA-2020-124261,"Saturday, November 14, 2020","Thursday, November 19, 2020",1,Standard Class,JE-15715,Joe Elijah,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10003504,Office Supplies,Art,Newell 347,28,229,224,1832,8,0,1608,Nov,11
2944,CA-2020-126242,"Thursday, November 19, 2020","Tuesday, November 24, 2020",0,Standard Class,MC-18100,Mick Crebagga,Consumer,United States,Los Angeles,California,90049,West,OFF-ST-10000675,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",70,298,630,2682,9,0,2052,Nov,11
5218,CA-2020-134635,"Wednesday, April 15, 2020","Friday, April 17, 2020",1,Second Class,NS-18640,Noel Staavos,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,60,317,180,951,3,0,771,Apr,4
4709,CA-2020-138149,"Monday, June 29, 2020","Tuesday, June 30, 2020",1,First Class,WB-21850,William Brown,Consumer,United States,Los Angeles,California,90049,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",78,348,234,1044,3,0,810,Jun,6
4710,CA-2020-138149,"Monday, June 29, 2020","Tuesday, June 30, 2020",0,First Class,WB-21850,William Brown,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10000255,Office Supplies,Art,Newell 328,12,171,24,342,2,0,318,Jun,6
7393,CA-2020-147844,"Wednesday, February 5, 2020","Friday, June 5, 2020",0,Standard Class,DD-13570,Dorothy Dickinson,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10003016,Office Supplies,Paper,"Adams ""While You Were Out"" Message Pads",81,327,405,1635,5,0,1230,Feb,2
7394,CA-2020-147844,"Wednesday, February 5, 2020","Friday, June 5, 2020",0,Standard Class,DD-13570,Dorothy Dickinson,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10001615,Office Supplies,Art,Newell 34,47,350,141,1050,3,0,909,Feb,2
7395,CA-2020-147844,"Wednesday, February 5, 2020","Friday, June 5, 2020",1,Standard Class,DD-13570,Dorothy Dickinson,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002713,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",66,99,330,495,5,0,165,Feb,2
8588,CA-2020-162015,"Saturday, November 7, 2020","Saturday, July 18, 2020",0,Standard Class,KB-16240,Karen Bern,Corporate,United States,Los Angeles,California,90049,West,OFF-AP-10003040,Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,77,134,385,670,5,0,285,Nov,11
514,CA-2020-163405,"Monday, December 21, 2020","Friday, December 25, 2020",0,Standard Class,BN-11515,Bradley Nguyen,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10003811,Office Supplies,Art,Newell 327,14,245,42,735,3,0,693,Dec,12
515,CA-2020-163405,"Monday, December 21, 2020","Friday, December 25, 2020",1,Standard Class,BN-11515,Bradley Nguyen,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10001246,Office Supplies,Art,Newell 317,39,161,78,322,2,0,244,Dec,12
7657,US-2017-120740,"Saturday, April 15, 2017","Saturday, April 15, 2017",1,Same Day,PS-18970,Paul Stevenson,Home Office,United States,Los Angeles,California,90049,West,OFF-AP-10000240,Office Supplies,Appliances,Belkin F9G930V10-GRY 9 Outlet Surge,93,256,186,512,2,0,326,Apr,4
6030,US-2019-112970,"Thursday, November 14, 2019","Friday, November 15, 2019",1,First Class,TB-21250,Tim Brockman,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10003829,Office Supplies,Art,Newell 35,55,123,165,369,3,0,204,Nov,11
1606,US-2019-115819,"Friday, April 19, 2019","Wednesday, April 24, 2019",0,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10000823,Office Supplies,Art,Newell 307,27,265,81,795,3,0,714,Apr,4
1607,US-2019-115819,"Friday, April 19, 2019","Wednesday, April 24, 2019",0,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,54,297,270,1485,5,0,1215,Apr,4
1609,US-2019-115819,"Friday, April 19, 2019","Wednesday, April 24, 2019",0,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002377,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",45,304,180,1216,4,0,1036,Apr,4
1807,US-2019-116729,"Wednesday, December 25, 2019","Saturday, December 28, 2019",1,First Class,GK-14620,Grace Kelly,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,88,156,616,1092,7,0,476,Dec,12
7245,US-2020-151127,"Friday, May 22, 2020","Monday, May 25, 2020",1,First Class,RL-19615,Rob Lucas,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10002445,Office Supplies,Art,SANFORD Major Accent Highlighters,27,284,189,1988,7,0,1799,May,5
6016,CA-2017-102652,"Sunday, June 4, 2017","Monday, December 4, 2017",0,Standard Class,AY-10555,Andy Yotov,Corporate,United States,Los Angeles,California,90049,West,FUR-FU-10000747,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,43,319,86,638,2,0,552,Jun,6
6017,CA-2017-102652,"Sunday, June 4, 2017","Monday, December 4, 2017",1,Standard Class,AY-10555,Andy Yotov,Corporate,United States,Los Angeles,California,90049,West,FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,76,184,532,1288,7,0,756,Jun,6
2067,CA-2017-106439,"Tuesday, October 31, 2017","Tuesday, April 11, 2017",0,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,TEC-AC-10004568,Technology,Accessories,Maxell LTO Ultrium - 800 GB,56,289,504,2601,9,0,2097,Oct,10
3131,CA-2017-136399,"Saturday, December 16, 2017","Sunday, December 17, 2017",1,First Class,CC-12100,Chad Cunningham,Home Office,United States,Los Angeles,California,90049,West,TEC-AC-10001142,Technology,Accessories,First Data FD10 PIN Pad,11,348,55,1740,5,0,1685,Dec,12
3129,CA-2017-136399,"Saturday, December 16, 2017","Sunday, December 17, 2017",0,First Class,CC-12100,Chad Cunningham,Home Office,United States,Los Angeles,California,90049,West,FUR-FU-10004090,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",10,230,20,460,2,0,440,Dec,12
5738,CA-2017-148614,"Friday, January 20, 2017","Wednesday, January 25, 2017",1,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",68,251,136,502,2,0,366,Jan,1
4563,CA-2018-118871,"Thursday, April 12, 2018","Wednesday, September 12, 2018",1,Second Class,HM-14860,Harry Marie,Corporate,United States,Los Angeles,California,90049,West,FUR-FU-10002111,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",25,345,125,1725,5,0,1600,Apr,4
8060,CA-2018-121188,"Tuesday, August 28, 2018","Monday, April 9, 2018",0,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003981,Furniture,Furnishings,Eldon Wave Desk Accessories,36,300,72,600,2,0,528,Aug,8
2709,CA-2018-121797,"Tuesday, January 30, 2018","Saturday, June 2, 2018",1,Standard Class,CC-12145,Charles Crestani,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10001876,Furniture,Furnishings,"Computer Room Manger, 14""",44,59,308,413,7,0,105,Jan,1
4338,CA-2018-125234,"Tuesday, November 27, 2018","Friday, January 12, 2018",1,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Los Angeles,California,90049,West,TEC-AC-10000158,Technology,Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card,58,171,174,513,3,0,339,Nov,11
8548,CA-2018-149566,"Saturday, May 12, 2018","Friday, October 12, 2018",1,Standard Class,GB-14530,George Bell,Corporate,United States,Los Angeles,California,90049,West,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,22,269,66,807,3,0,741,May,5
1626,CA-2018-157084,"Wednesday, December 19, 2018","Monday, December 24, 2018",1,Standard Class,JG-15160,James Galang,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10002049,Technology,Accessories,Plantronics Savi W720 Multi-Device Wireless Headset System,25,269,75,807,3,0,732,Dec,12
3761,CA-2018-167745,"Tuesday, September 18, 2018","Sunday, September 23, 2018",1,Standard Class,GB-14530,George Bell,Corporate,United States,Los Angeles,California,90049,West,FUR-FU-10001591,Furniture,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,17,112,34,224,2,0,190,Sep,9
27,CA-2019-121755,"Wednesday, January 16, 2019","Sunday, January 20, 2019",1,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,36,63,108,189,3,0,81,Jan,1
8116,CA-2020-101014,"Saturday, August 29, 2020","Thursday, April 9, 2020",1,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Los Angeles,California,90049,West,FUR-FU-10003374,Furniture,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,89,191,267,573,3,0,306,Aug,8
5941,CA-2020-112431,"Thursday, December 10, 2020","Wednesday, October 14, 2020",1,Second Class,RW-19690,Robert Waldorf,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10001465,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,79,260,948,3120,12,0,2172,Dec,12
9141,CA-2020-123029,"Wednesday, September 30, 2020","Monday, February 10, 2020",1,Second Class,BT-11530,Bradley Talbott,Home Office,United States,Los Angeles,California,90049,West,TEC-AC-10002402,Technology,Accessories,Razer Kraken PRO Over Ear PC and Music Headset,76,274,152,548,2,0,396,Sep,9
2945,CA-2020-126242,"Thursday, November 19, 2020","Tuesday, November 24, 2020",1,Standard Class,MC-18100,Mick Crebagga,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10002685,Furniture,Furnishings,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",22,311,22,311,1,0,289,Nov,11
4711,CA-2020-138149,"Monday, June 29, 2020","Tuesday, June 30, 2020",1,First Class,WB-21850,William Brown,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10001284,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,81,88,243,264,3,0,21,Jun,6
9666,CA-2020-157448,"Monday, November 16, 2020","Friday, November 20, 2020",1,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003268,Furniture,Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets,93,196,279,588,3,0,309,Nov,11
9667,CA-2020-157448,"Monday, November 16, 2020","Friday, November 20, 2020",0,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,57,343,171,1029,3,0,858,Nov,11
8587,CA-2020-162015,"Saturday, November 7, 2020","Saturday, July 18, 2020",0,Standard Class,KB-16240,Karen Bern,Corporate,United States,Los Angeles,California,90049,West,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,85,291,425,1455,5,0,1030,Nov,11
7658,US-2017-120740,"Saturday, April 15, 2017","Saturday, April 15, 2017",0,Same Day,PS-18970,Paul Stevenson,Home Office,United States,Los Angeles,California,90049,West,FUR-FU-10004091,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",64,173,256,692,4,0,436,Apr,4
1808,US-2019-116729,"Wednesday, December 25, 2019","Saturday, December 28, 2019",0,First Class,GK-14620,Grace Kelly,Corporate,United States,Los Angeles,California,90049,West,TEC-AC-10001465,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,79,172,553,1204,7,0,651,Dec,12
